depto,poblacion_total,poblacion_hombres,poblacion_mujeres,adolescents_out_of_school_count,adolescents_population_13_15,adolescents_out_of_school_rate,adult_literate_count,adult_population_15_plus,adult_literacy_rate,youth_literate_count,youth_population_15_24.x,youth_literacy_rate,primary_completion_count,primary_age_population,primary_school_age_population,primary_completion_rate,lower_secondary_completion_count,lower_secondary_age_population,lower_secondary_completion_rate,primary_enrolled_count,net_primary_enrollment_rate,secondary_enrolled_count,secondary_age_population,net_secondary_enrollment_rate,child_employment_count,child_population_7_14,child_employment_rate,youth_labor_force_count,youth_lfpr_rate,labor_force_count,population_15_plus,lfpr_rate,neet_count,neet_population_15_24,neet_rate,unemployment_count,labor_force_population_15_plus,unemployment_rate,youth_unemployment_count,youth_labor_force_population,youth_unemployment_rate,vulnerable_employment_count,employed_population,vulnerable_employment_rate,total_households,urban_households,rural_households,pct_urban_households,pct_rural_households,households_receiving_remittances,pct_households_receiving_remittances,total_emigrants_household,households_with_emigrants,households_with_1_emigrant,households_with_2plus_emigrants,pct_households_with_emigrants,depto_name,dept_geo_code,Country,ISO3
01,472385.6785278348,227481.4274201418,244904.2511076959,10540.95118346291,35481.2661113607,29.70849786019281,273556.8557971823,330126.2238052011,82.86432160524184,56834.19572433295,82350.19752355936,69.01525124827225,900.5511754664972,48867.17420805301,48867.17420805301,1.8428550249956788,857.020140773242,35481.2661113607,2.4154158932305796,45366.89588455793,92.83715831696638,24940.31492789778,35481.2661113607,70.29150213980715,1287.845423579885,72366.96032450642,1.7796041422839308,29166.06788858087,35.41711952814299,160202.8761265538,330126.2238052011,48.52776440477063,36655.16375258677,82350.19752355936,44.51132462930668,9889.85973916658,160202.8761265538,6.173334698032506,2525.2944358483896,29166.06788858087,8.65833010296563,51391.794732448114,150313.01638738715,34.18984993289006,136319.76048748643,97060.60635085466,39259.154136631754,71.20068726922713,28.79931273077286,28067.6546361429,20.589571560110972,37885.4659124,30462.883000500042,30462.883000500042,5495.0043437999975,22.34663770796194,Atlántida,HNAT,Honduras,HND
02,321906.47827650513,150757.71727371815,171148.7610027871,6692.19133357957,18644.291592975587,35.89404993054773,163123.82805597805,219480.32572643444,74.32275650041613,33385.559673376614,53230.07285794429,62.71935746260022,656.0042133458928,50561.24330087515,50561.24330087515,1.297444782839306,0,18644.291592975587,0,46737.33330734368,92.4370728568194,11952.100259396017,18644.291592975587,64.10595006945226,1893.3877743607093,64333.98324828977,2.943060073015209,24365.64707313076,45.77421326879572,110231.6170305382,219480.32572643444,50.22391718514831,18128.51985251911,53230.07285794429,34.056913468630604,2717.437303490182,110231.6170305382,2.4652067861232156,1514.228948270728,24365.64707313076,6.214605931563974,39790.010973115306,107514.179727048,37.00908203376739,95421.2729507346,49096.32953903762,46324.943411697,51.45218463432755,48.54781536567246,16887.104102344812,17.697420690524133,34043.674169999984,27841.64971049999,27841.64971049999,3544.9605899999997,29.177612967785972,Colón,HNCL,Honduras,HND
03,533868.4013529712,253212.63141604167,280655.76993693126,18743.85353269821,39344.75919553672,47.64002605669656,275294.68235241127,361172.8507635964,76.22241864812918,56662.46650654068,87720.03727805894,64.59466760932789,2445.5252010003496,84781.21355747824,84781.21355747824,2.8845130877283114,0,39344.75919553672,0,79830.904839845,94.16107825081184,20600.905662838493,39344.75919553672,52.3599739433034,5749.046869096851,113608.73256367634,5.0603916964521884,40210.33426183557,45.83939486297188,186067.2084017074,361172.8507635964,51.51749584951406,37172.56687776739,87720.03727805894,42.37636922102086,9479.494545318135,186067.2084017074,5.094661561672116,4864.913717853079,40210.33426183557,12.098665199285511,74392.21797100813,176587.71385638943,42.12762957648789,141768.94432410767,68749.71552268528,73019.22880142246,48.49420008765238,51.50579991234767,24804.699866494055,17.496568084605567,45254.754407149994,34916.320405349994,34916.320405349994,6666.962745399998,24.62903322855068,Comayagua,HNCM,Honduras,HND
04,401163.52531150327,182405.07256268497,218758.4527488181,15963.30661888716,28211.022024981467,56.58535378389095,206786.7380583885,280172.98008761235,73.8068096337215,52190.05805092197,66210.79800555082,78.82408855206153,1083.26129455723,52407.88984436638,52407.88984436638,2.066981322419483,0,28211.022024981467,0,50091.9841080934,95.58099793151293,12247.715406094292,28211.022024981467,43.41464621610899,11379.985528232684,69391.803521035,16.399610545909827,43154.16291802641,65.1769261479201,166881.11762154827,280172.98008761235,59.563601589761866,19722.12818944034,66210.79800555082,29.78687583222743,6367.350771547824,166881.11762154827,3.8155010358857098,3925.3187736474742,43154.16291802641,9.09603734199137,77252.16903187383,160513.76685000048,48.12806436974699,116059.37027036214,50037.01105370019,66022.35921666195,43.113288429136034,56.88671157086396,21872.590829924527,18.846036109770353,32398.29386305323,27045.037154933227,27045.037154933227,3192.8953318799963,23.30276055430198,Copán,HNCP,Honduras,HND
05,1906965.4184914865,872806.5750074369,1034158.8434840296,15739.29672907302,107064.84398021182,14.7007142064131,1118270.8573234044,1406067.165212356,79.53182358500732,214157.80602651168,358998.34461465274,59.65426003743491,433.140495226665,212285.6339397642,212285.6339397642,0.20403664967247295,4744.690366098228,107064.84398021182,4.43160442747683,202173.38072522212,95.2364872615867,91325.54725113884,107064.84398021182,85.29928579358695,5899.718423872106,283847.8144546073,2.078479425747202,170975.0289147641,47.62557585001901,824363.6346642062,1406067.165212356,58.62903672455106,91593.4195993363,358998.34461465274,25.51360499939137,36861.9161236402,824363.6346642062,4.471560191838814,13965.525600377943,170975.0289147641,8.16816683057276,220599.36262150152,787501.7185405652,28.012556344680306,511187.18307310133,426025.11793545913,85162.06513764191,83.34033638604282,16.659663613957136,82873.97988633605,16.212061379967114,96244.58305719336,78557.62447629975,78557.62447629975,14030.346150973332,15.36768273492995,Cortés,HNCR,Honduras,HND
06,475535.9996391488,226808.65197599644,248727.34766315875,7390.833222424165,24402.49693853112,30.287200695245932,267561.36550899316,356342.294056011,75.08549222813754,44951.545236501646,74932.79661437399,59.98914663206206,773.748559331053,54064.43754161245,54064.43754161245,1.4311599167854323,538.2598673607325,24402.49693853112,2.2057573399828176,51775.15104324383,95.76563337664136,17011.663716106937,24402.49693853112,69.71279930475399,1560.1125843033738,71232.16500574107,2.1901799337106125,35175.388252008364,46.94258034039643,194722.5001958251,356342.294056011,54.64479054097855,25255.59842797602,74932.79661437399,33.70433184010026,15186.584818956602,194722.5001958251,7.799090913317171,5836.691799073565,35175.388252008364,16.593112653817872,69834.35506469368,179535.91537686874,38.89715042146441,122603.82203711892,52859.05559768812,69744.76643943052,43.11370944185147,56.886290558148296,18523.150277725457,15.108134452870058,21474.25154505,19427.514988549996,19427.514988549996,2046.7365564999996,15.845766196969146,Choluteca,HNCH,Honduras,HND
07,488140.8809463663,235103.4027182259,253037.47822814455,10725.660260112192,31721.751311408607,33.811690139108904,262219.6600389129,346700.5035393788,75.63290429693004,59772.20880432465,86786.06119422254,68.87305171110101,1015.1244686006316,64738.221922653254,64738.221922653254,1.5680450257244685,0,31721.751311408607,0,61842.25219651466,95.52664617573436,20996.091051296404,31721.751311408607,66.18830986089107,5594.7589410377195,83394.07955140404,6.708820303711267,48315.351041978305,55.671786894269985,200319.92642240404,346700.5035393788,57.77895456666142,32413.04123170955,86786.06119422254,37.34821097499852,20360.417627168903,200319.92642240404,10.163950232407718,10699.246770378331,48315.351041978305,22.144611473654408,61050.64477841475,179959.50879523522,33.92465626691641,126243.67032429425,47109.1883210066,79134.48200328754,37.316079451740194,62.68392054825973,16779.796736611737,13.29159449618968,24413.242559299993,19877.295073299996,19877.295073299996,2267.9737429999996,15.745181538400525,El Paraíso,HNEP,Honduras,HND
08,1730801.6293108636,790282.6169096505,940519.0124012454,13606.83915434589,90910.43186178798,14.967302294892296,973378.7746719308,1314853.240080486,74.02946161598592,128806.0156758063,292360.679849761,44.05722949542922,5323.102908964774,198822.17815287056,198822.17815287056,2.6773184754428865,809.4906897667083,90910.43186178798,0.8904266245235586,192283.6521307498,96.71136988696834,77303.59270744206,90910.43186178798,85.03269770510768,5790.797706568954,257239.46487086397,2.2511311433010386,112238.429385161,38.39039827203793,745272.3661641089,1314853.240080486,56.68103050941932,67829.1823479091,292360.679849761,23.20051464607529,46694.91357455834,745272.3661641089,6.265483022655925,15136.310279761692,112238.429385161,13.4858536088557,218243.25873826575,698577.4525895491,31.241096878987747,471587.1672700498,370973.46096642176,100613.70630362828,78.66487612755319,21.335123872446857,52978.23629657547,11.23402839887668,94677.85509334008,79006.94416744004,79006.94416744004,12203.929924399998,16.753412656412994,Francisco Morazán,HNFM,Honduras,HND
09,404667.30668441014,193305.71145737811,211361.59522703395,17081.900764481557,35263.28262195425,48.441039785237386,173189.35478215647,241483.86387395096,71.71881052580694,44286.00140126869,79716.89374622778,55.554098159230286,3517.645615041052,67639.23044292399,67639.23044292399,5.200599699325892,4341.8560369371735,35263.28262195425,12.312682524439788,38591.73648772459,57.0552565944544,18181.3818574727,35263.28262195425,51.55896021476264,2354.886919703205,91219.45305855,2.5815622005447683,15350.31132878026,19.256032952872857,100665.97924519786,241483.86387395096,41.68642062880989,46572.208556311816,79716.89374622778,58.42200613657958,4172.581900216311,100665.97924519786,4.144977212264449,235.4886919703205,15350.31132878026,1.5340971718847378,41975.75352134746,96493.39734498152,43.50116658373679,77924.54270884092,33351.81813245318,44572.72457638756,42.80014610681733,57.19985389318245,884.3285110877744,1.1348523588928845,211.10207049999997,211.10207049999997,211.10207049999997,0,0.2709057546718839,Gracias a Dios,HNGD,Honduras,HND
10,282430.1382902514,135012.49062024488,147417.64767000894,9415.03545664163,21461.171690198687,43.87009056426064,147125.9802112647,190680.4035648919,77.15841662837427,32141.28395729793,47446.65858138774,67.74193361196194,803.184645827343,46263.70472078051,46263.70472078051,1.736101011959322,917.2578006840644,21461.171690198687,4.2740341204342345,44079.07246801328,95.27787005828364,12046.136233557065,21461.171690198687,56.12990943573939,11118.990972242957,62352.342041272226,17.83251536066292,28905.652018812845,60.92241873941337,115502.82347751844,190680.4035648919,60.57403976398174,11233.571468197488,47446.65858138774,23.67621199062512,1898.0675643169689,115502.82347751844,1.6433083687226138,567.6959538570227,28905.652018812845,1.9639617659810809,54424.171542709,113604.75591320146,47.90659607973739,69038.39278149014,21223.884266106583,47814.50851538352,30.742147102527728,69.25785289747223,12595.996884363458,18.244916164590332,17164.350227499996,11790.381443499997,11790.381443499997,3105.995040999999,17.078006842970876,Intibucá,HNIN,Honduras,HND
